2023 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
        Dairy products,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,3.0 to 4.0,3.0 to 4.0,4.0 to 5.0,5.0 to 6.0,5.0 to 6.0,5.0 to 6.0,5.0 to 6.0,5.0 to 6.0,4.0 to 5.0
        Fats and oils,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,4.0 to 5.0,4.0 to 5.0,5.0 to 6.0,9.5 to 10.5,11.0 to 12.0,11.0 to 12.0,11.0 to 12.0,10.5 to 11.5,10.5 to 11.5
        Fruits and vegetables,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,1.0 to 2.0,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5
            Fresh fruits and vegetables,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,0.5 to 1.5,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0
              Fresh fruits,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,0.0 to 1.0
              Fresh vegetables,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,1.5 to 2.5,3.0 to 4.0,3.0 to 4.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0
            Processed fruits and vegetables,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,5.0 to 6.0,6.0 to 7.0,7.0 to 8.0,7.5 to 8.5,7.5 to 8.5,8.0 to 9.0
        Sugar and sweets,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,5.0 to 6.0,8.0 to 9.0,8.5 to 9.5,8.5 to 9.5,8.5 to 9.5,8.5 to 9.5
        Cereals and bakery products,5.0 to 6.0,5.0 to 6.0,5.0 to 6.0,5.0 to 6.0,5.0 to 6.0,5.0 to 6.0,6.0 to 7.0,8.0 to 9.0,8.5 to 9.5,9.5 to 10.5,9.5 to 10.5,9.5 to 10.5
        Nonalcoholic beverages,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,4.0 to 5.0,6.0 to 7.0,7.0 to 8.0,8.0 to 9.0,8.0 to 9.0,8.0 to 9.0
        Other foods,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,6.0 to 7.0,7.0 to 8.0,7.5 to 8.5,7.5 to 8.5,7.5 to 8.5
About this table: ,,,,,,,,,,,,
      1. Each column represents the month/year that the forecast was made. ,,,,,,,,,,,,
      2. Each cell represents the percent change range for each forecast. ,,,,,,,,,,,,
"Source: USDA, Economic Research Service.",,,,,,,,,,,,
"For questions, contact:",,,,,,,,,,,,
"Matthew MacLachlan, matthew.maclachlan@usda.gov or Megan Sweitzer, megan.sweitzer@usda.gov
",,,,,,,,,,,,
